Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Alfonso Rivas,CHC,22,82,73,18,4,0,1,9,8,8,21,1,0,0,,0.246,0.329,0.356,0.685,0.304,90,,0,,999,,2.79,0.93,1.69,21560
Zach Reks,,13,50,45,10,2,0,2,5,5,5,18,1,0,0,,0.222,0.302,0.372,0.674,0.296,87,,0,,999,,3.71,2.24,1.76,19667
Daniel Johnson,CLE,23,74,68,15,3,0,2,8,8,5,23,1,1,0,,0.224,0.287,0.386,0.673,0.292,83,,0,,999,,6.55,2.18,1.68,19643
Rob Refsnyder,BOS,21,74,66,16,3,0,2,8,7,6,20,1,0,0,,0.245,0.314,0.383,0.697,0.302,86,,0,,999,,3.16,0.43,1.71,13770
Miguel Andújar,NYY,26,99,93,24,5,0,4,12,12,5,17,0,0,0,,0.261,0.3,0.445,0.745,0.317,99,,0,,598,,3.89,-0.08,1.62,15878
Christin Stewart,BOS,15,53,48,11,3,0,2,6,7,4,16,1,0,0,,0.227,0.297,0.421,0.718,0.307,89,,0,,999,,4.32,3.76,1.73,17714
Shogo Akiyama,CIN,41,149,133,33,7,1,2,16,12,13,31,2,2,1,,0.248,0.324,0.348,0.672,0.298,80,,0,,600.8,,3.44,1.24,1.57,27461
Abraham Almonte,,9,28,24,6,1,0,1,3,3,3,6,0,0,0,,0.236,0.334,0.408,0.742,0.324,100,,0,,999,,2.97,1.69,1.87,5486
Dillon Thomas,LAA,7,21,19,4,1,0,1,2,2,2,9,0,0,0,,0.204,0.28,0.339,0.62,0.274,71,,0,,999,,4.14,3.53,1.89,12719
Franchy Cordero,BOS,12,46,42,10,3,0,1,6,6,4,15,0,1,0,,0.244,0.304,0.376,0.68,0.295,81,,0,,999,,5.03,1.89,1.8,14567
Anthony Alford,PIT,98,362,324,73,15,2,11,42,38,31,126,5,12,4,,0.224,0.302,0.386,0.688,0.3,87,,0,,564,,2.43,-0.06,1.15,14329
DJ Peters,,12,43,39,8,2,0,2,6,7,2,15,1,0,0,,0.21,0.268,0.424,0.692,0.294,86,,0,,600.5,,3.15,2.68,1.72,19348
Nick Martini,,8,20,17,4,1,0,0,2,2,2,5,0,0,0,,0.238,0.322,0.341,0.663,0.294,83,,0,,999,,2.89,2.97,1.91,12005
Austin Dean,,11,28,25,6,1,0,1,3,3,2,7,0,0,0,,0.242,0.308,0.391,0.7,0.302,89,,0,,999,,4.52,2.22,1.87,18288
Kyle Garlick,MIN,24,72,67,15,4,0,3,9,9,4,23,1,0,0,,0.22,0.27,0.418,0.688,0.294,84,,0,,999,,4.07,0.42,1.61,18063
Mickey Moniak,PHI,22,71,65,15,3,0,2,8,8,5,21,0,1,0,,0.224,0.281,0.386,0.667,0.287,76,,0,,600.8,,4.16,1.29,1.68,19956
David Dahl,MIL,13,52,48,12,3,0,2,6,6,3,13,0,0,0,,0.24,0.285,0.402,0.687,0.294,81,,0,,599.4,,4.13,1.38,1.78,13744
Max Schrock,CIN,39,135,124,31,6,1,3,15,14,9,25,1,2,0,,0.251,0.302,0.377,0.68,0.295,78,,0,,600.2,,4.27,-0.36,1.54,17750
Ian Desmond,COL,7,26,24,6,1,0,1,3,3,2,7,0,0,0,,0.251,0.31,0.422,0.733,0.315,83,,0,,999,,5.58,2.99,1.89,6885
Phil Gosselin,,18,73,67,17,3,0,2,8,8,5,17,0,0,0,,0.248,0.305,0.375,0.68,0.297,82,,-0.1,,597.1,,3.33,-0.12,1.72,10953
Josh Palacios,,24,92,80,18,4,0,1,10,8,8,23,1,1,0,,0.23,0.306,0.337,0.643,0.284,75,,-0.1,,999,,4.2,0.97,1.64,19818
Andrew Stevenson,WSN,70,230,210,52,10,1,5,26,24,16,62,3,3,1,,0.25,0.31,0.375,0.684,0.299,84,,-0.1,,597.8,,3.66,0.77,1.23,17932
Steven Souza Jr.,,14,46,41,8,1,0,1,5,5,5,16,0,0,0,,0.192,0.28,0.316,0.596,0.265,70,,-0.1,,999,,3.61,1.31,1.74,5667
Adam Haseley,CHW,29,106,96,23,4,0,2,11,10,7,23,1,2,1,,0.236,0.293,0.349,0.642,0.281,75,,-0.1,,600.9,,4.14,1.89,1.62,19878
Jake Bauers,CIN,21,69,61,14,3,0,2,8,7,7,17,1,1,0,,0.227,0.314,0.363,0.677,0.298,80,,-0.1,,600.6,,3.69,2.03,1.72,15194
Luis Barrera,,29,99,92,21,4,1,1,10,8,6,22,0,2,0,,0.227,0.281,0.306,0.586,0.26,65,,-0.1,,999,,3.34,0.15,1.65,19615
Jake Cave,MIN,32,111,102,23,5,0,3,12,11,7,36,2,1,0,,0.224,0.29,0.357,0.646,0.283,78,,-0.1,,999,,4.13,0.55,1.5,14477
Ryan Vilade,,23,79,73,19,4,0,1,9,7,5,15,1,1,0,,0.257,0.312,0.366,0.678,0.296,71,,-0.1,,600.5,,5.2,1.89,1.75,22165
Jared Oliva,,23,80,73,17,4,1,1,8,7,5,22,1,3,1,,0.226,0.287,0.329,0.616,0.271,68,,-0.2,,999,,3.54,1.46,1.74,19968
